time (seconds),steps,light,temp
60.608,0,128,21
120.604,0,128,21
180.604,0,128,21
240.604,0,128,21
300.605,0,128,21
360.607,0,128,21
420.605,0,128,21
480.605,0,128,21
540.676,0,128,21
600.68,0,128,21
660.68,0,128,21
720.68,0,128,21
780.682,0,128,21
840.682,0,128,21
900.683,0,128,21
960.684,0,128,21
1020.683,0,128,21
1080.684,0,128,21
1140.684,0,128,21
1200.685,0,128,21
1260.685,0,128,21
1320.685,0,128,21
1380.686,0,128,21
1440.687,0,128,21
1500.688,0,128,21
1560.689,0,128,21
1620.689,0,128,21
1680.69,0,128,21
1740.692,0,128,21
1800.692,0,128,21
1860.693,0,128,21
1920.694,0,128,21
1980.695,0,128,21
2040.696,0,128,21
2100.697,0,128,21
2160.698,0,128,21
2220.701,0,128,21
2280.702,0,128,21
2340.704,0,128,21
2400.706,0,128,21
2460.707,0,128,21
2520.709,0,128,21
2580.712,0,128,21
2640.714,0,128,21
2700.715,0,128,21
2760.716,0,128,21
2820.718,0,128,21
2880.72,0,128,21
2940.721,0,128,21
3000.721,0,128,21
3060.723,0,128,21
3120.725,0,128,21
3180.726,0,128,21
3240.726,0,128,21
3300.727,0,128,21
3360.728,0,128,21
3420.729,0,128,21
3480.729,0,128,21
3540.729,0,128,21
3600.73,0,128,21
3660.73,0,128,21
3720.731,0,128,21
3780.731,0,128,21
3840.731,0,128,21
3900.732,0,128,21
